u,g,r,i,z,redshift,class,snr_r,extinction_r
23.63912,21.8467,20.13341,19.24872,18.82878,0.4647982,GALAXY,3.443769,0.0759447
22.85948,20.94337,19.30637,18.42334,17.8908,0.2632038,GALAXY,7.514396,0.07964029
23.74796,21.99391,20.78517,19.85346,19.90302,0.5851283,GALAXY,1.440666,0.09001167
21.34686,20.04273,20.47503,19.16752,19.2129,0.1054256,GALAXY,4.351876,0.079563
25.57758,22.42257,21.02983,20.07104,19.37427,0.4902127,GALAXY,1.494677,0.09259956
18.4628,17.85783,18.01891,17.41552,16.85313,1.525989e-05,STAR,20.8442,0.08356409
24.31593,20.90589,19.95797,19.67617,19.52821,3.430067,QSO,8.576331,0.08473624
23.20873,22.40502,20.51084,19.58512,19.11733,0.5074064,GALAXY,3.018428,0.08351818
24.12561,21.39695,19.63025,18.72707,18.2387,0.4638863,GALAXY,5.711942,0.08943003
24.8919,22.5283,20.96164,20.06474,19.40365,0.5100946,GALAXY,1.709858,0.08940315
23.17082,21.87229,20.24431,19.23218,18.71709,0.508838,GALAXY,3.571635,0.08985665
21.80597,19.85755,18.37457,17.78145,17.38768,0.2651924,GALAXY,9.778299,0.08322793
21.63301,19.11332,17.69131,17.19338,16.88149,0.2424777,GALAXY,16.0523,0.08413286
24.38224,22.22284,20.7766,20.59307,20.6657,4.009793,QSO,4.237892,0.08984149
25.78139,22.11654,20.3782,19.5453,19.04693,0.463738,GALAXY,3.439731,0.08835128
25.31787,21.69517,19.95312,19.11453,18.5601,0.4659335,GALAXY,3.35508,0.08460107
25.93959,21.60029,20.58823,19.70192,19.33603,0.617456,GALAXY,2.40037,0.08230732
22.93564,22.16282,20.4946,19.55202,19.08878,0.5823265,GALAXY,1.817731,0.08889387
24.09175,22.07932,20.2468,19.31398,19.25745,0.5110705,GALAXY,1.992188,0.08127867
21.4937,19.5195,18.09852,17.52591,17.15357,0.2041974,GALAXY,11.73349,0.08187873
25.1182,22.11583,20.86096,19.95865,19.40959,0.6007487,GALAXY,1.794037,0.07950795
23.88547,21.67183,19.97602,19.13552,18.81976,0.4648428,GALAXY,3.704764,0.07930579
22.73143,21.624,19.87357,19.00317,18.51764,0.4656154,GALAXY,3.995219,0.0835993
24.84008,21.7248,20.29036,19.539,19.25242,0.3097265,GALAXY,2.477227,0.08274593
22.85479,22.06668,21.85555,21.49426,21.20571,2.925213,QSO,2.03823,0.0903846
25.5812,24.55181,21.87856,19.29048,17.53927,1.075491e-05,STAR,1.348208,0.102455
